"DARCODIGO";"PERCODIGO";"DARFECHAING";"DARINSTPROCED";"DARREPITE";"DARCURREP";"DARASIGPREF";"DARASIGDIFC";"DARDIGNIDAD";"DARLOGROS";"DARPARTIC";"DARCLUBES";"DAREXTRACU";"DAROBSERVACION";"DARPRODISC";"DARPDCAUSA";"DARPROAPROV";"DARPACAUSA";"DARPROASIS";"DARPASCAUSA";"DARCFEXONERA";"DARCFTIEMPO";"DARCFCAUSA"
"210";"1210";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"211";"1211";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"212";"1212";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"213";"1213";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"214";"1214";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"215";"1215";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"216";"1216";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"217";"1217";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"218";"1218";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"219";"1219";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"220";"1220";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"221";"1221";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"222";"1222";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"223";"1223";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"224";"1224";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"225";"1225";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"226";"1226";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"227";"1227";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"228";"1228";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"229";"1229";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"230";"1230";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"231";"1231";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"232";"1232";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"233";"1233";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"234";"1234";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"235";"1235";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"236";"1236";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"237";"1237";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"238";"1238";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"239";"1239";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"240";"1240";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"241";"1241";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"242";"1242";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"243";"1243";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"244";"1244";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"245";"1245";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"246";"1246";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"247";"1247";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"248";"1248";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"249";"1249";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"250";"1250";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"251";"1251";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"252";"1252";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"253";"1253";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"254";"1254";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"255";"1255";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"256";"1256";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"257";"1257";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"258";"1258";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"259";"1259";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"260";"1260";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"261";"1261";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"262";"1262";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"263";"1263";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"264";"1264";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"265";"1265";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"266";"1266";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"267";"1267";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"268";"1268";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"269";"1269";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"270";"1270";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"271";"1271";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"272";"1272";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"273";"1273";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"274";"1274";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"275";"1275";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"276";"1276";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"277";"1277";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"278";"1278";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"279";"1279";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"280";"1280";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"281";"1281";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"282";"1282";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"283";"1283";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"284";"1284";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"285";"1285";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"286";"1286";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"287";"1287";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"288";"1288";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"289";"1289";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"290";"1290";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"291";"1291";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"292";"1292";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"293";"1293";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"294";"1294";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"295";"1295";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"296";"1296";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"297";"1297";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"298";"1298";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"299";"1299";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"300";"1300";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"301";"1301";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"302";"1302";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"303";"1303";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"304";"1304";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"305";"1305";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"306";"1306";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"307";"1307";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"308";"1308";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"309";"1309";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"310";"1310";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"311";"1311";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"312";"1312";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"313";"1313";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"314";"1314";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
