"PASCODIGO";"PERCODIGO";"PASRELIGION";"PASPARROQUIA";"PASBAUTISMO";"PASCOMUNION";"PASCONFIRMACION";"PASBIBLIA";"PASOBSERV"
"206";"1206";;;;;;;
"207";"1207";;;;;;;
"208";"1208";;;;;;;
"209";"1209";;;;;;;
"210";"1210";;;;;;;
"211";"1211";;;;;;;
"212";"1212";;;;;;;
"213";"1213";;;;;;;
"214";"1214";;;;;;;
"215";"1215";;;;;;;
"216";"1216";;;;;;;
"217";"1217";;;;;;;
"218";"1218";;;;;;;
"219";"1219";;;;;;;
"220";"1220";;;;;;;
"221";"1221";;;;;;;
"222";"1222";;;;;;;
"223";"1223";;;;;;;
"224";"1224";;;;;;;
"225";"1225";;;;;;;
"226";"1226";;;;;;;
"227";"1227";;;;;;;
"228";"1228";;;;;;;
"229";"1229";;;;;;;
"230";"1230";;;;;;;
"231";"1231";;;;;;;
"232";"1232";;;;;;;
"233";"1233";;;;;;;
"234";"1234";;;;;;;
"235";"1235";;;;;;;
"236";"1236";;;;;;;
"237";"1237";;;;;;;
"238";"1238";;;;;;;
"239";"1239";;;;;;;
"240";"1240";;;;;;;
"241";"1241";;;;;;;
"242";"1242";;;;;;;
"243";"1243";;;;;;;
"244";"1244";;;;;;;
"245";"1245";;;;;;;
"246";"1246";;;;;;;
"247";"1247";;;;;;;
"248";"1248";;;;;;;
"249";"1249";;;;;;;
"250";"1250";;;;;;;
"251";"1251";;;;;;;
"252";"1252";;;;;;;
"253";"1253";;;;;;;
"254";"1254";;;;;;;
"255";"1255";;;;;;;
"256";"1256";;;;;;;
"257";"1257";;;;;;;
"258";"1258";;;;;;;
"259";"1259";;;;;;;
"260";"1260";;;;;;;
"261";"1261";;;;;;;
"262";"1262";;;;;;;
"263";"1263";;;;;;;
"264";"1264";;;;;;;
"265";"1265";;;;;;;
"266";"1266";;;;;;;
"267";"1267";;;;;;;
"268";"1268";;;;;;;
"269";"1269";;;;;;;
"270";"1270";;;;;;;
"271";"1271";;;;;;;
"272";"1272";;;;;;;
"273";"1273";;;;;;;
"274";"1274";;;;;;;
"275";"1275";;;;;;;
"276";"1276";;;;;;;
"277";"1277";;;;;;;
"278";"1278";;;;;;;
"279";"1279";;;;;;;
"280";"1280";;;;;;;
"281";"1281";;;;;;;
"282";"1282";;;;;;;
"283";"1283";;;;;;;
"284";"1284";;;;;;;
"285";"1285";;;;;;;
"286";"1286";;;;;;;
"287";"1287";;;;;;;
"288";"1288";;;;;;;
"289";"1289";;;;;;;
"290";"1290";;;;;;;
"291";"1291";;;;;;;
"292";"1292";;;;;;;
"293";"1293";;;;;;;
"294";"1294";;;;;;;
"295";"1295";;;;;;;
"296";"1296";;;;;;;
"297";"1297";;;;;;;
"298";"1298";;;;;;;
"299";"1299";;;;;;;
"300";"1300";;;;;;;
"301";"1301";;;;;;;
"302";"1302";;;;;;;
"303";"1303";;;;;;;
"304";"1304";;;;;;;
"305";"1305";;;;;;;
"306";"1306";;;;;;;
"307";"1307";;;;;;;
"308";"1308";;;;;;;
"309";"1309";;;;;;;
"310";"1310";;;;;;;
"311";"1311";;;;;;;
"312";"1312";;;;;;;
"313";"1313";;;;;;;
"314";"1314";;;;;;;
"315";"1315";;;;;;;
"316";"1316";;;;;;;
"317";"1317";;;;;;;
"318";"1318";;;;;;;
"319";"1319";;;;;;;
"320";"1320";;;;;;;
"321";"1321";;;;;;;
"322";"1322";;;;;;;
"323";"1323";;;;;;;
"324";"1324";;;;;;;
"325";"1325";;;;;;;
"326";"1326";;;;;;;
"327";"1327";;;;;;;
"328";"1328";;;;;;;
"329";"1329";;;;;;;
"330";"1330";;;;;;;
"331";"1331";;;;;;;
"332";"1332";;;;;;;
"333";"1333";;;;;;;
"334";"1334";;;;;;;
"335";"1335";;;;;;;
"336";"1336";;;;;;;
"337";"1337";;;;;;;
"338";"1338";;;;;;;
"339";"1339";;;;;;;
"340";"1340";;;;;;;
"341";"1341";;;;;;;
"342";"1342";;;;;;;
"343";"1343";;;;;;;
"344";"1344";;;;;;;
"345";"1345";;;;;;;
"346";"1346";;;;;;;
"347";"1347";;;;;;;
"348";"1348";;;;;;;
"349";"1349";;;;;;;
"350";"1350";;;;;;;
"351";"1351";;;;;;;
"352";"1352";;;;;;;
"353";"1353";;;;;;;
"354";"1354";;;;;;;
"355";"1355";;;;;;;
"356";"1356";;;;;;;
"357";"1357";;;;;;;
"358";"1358";;;;;;;
"359";"1359";;;;;;;
"360";"1360";;;;;;;
"361";"1361";;;;;;;
"362";"1362";;;;;;;
"363";"1363";;;;;;;
"364";"1364";;;;;;;
"365";"1365";;;;;;;
"366";"1366";;;;;;;
"367";"1367";;;;;;;
"368";"1368";;;;;;;
"369";"1369";;;;;;;
"370";"1370";;;;;;;
"371";"1371";;;;;;;
"372";"1372";;;;;;;
"373";"1373";;;;;;;
"374";"1374";;;;;;;
"375";"1375";;;;;;;
"376";"1376";;;;;;;
"377";"1377";;;;;;;
"378";"1378";;;;;;;
"379";"1379";;;;;;;
"380";"1380";;;;;;;
"381";"1381";;;;;;;
"382";"1382";;;;;;;
"383";"1383";;;;;;;
"384";"1384";;;;;;;
"385";"1385";;;;;;;
"386";"1386";;;;;;;
"387";"1387";;;;;;;
"388";"1388";;;;;;;
"389";"1389";;;;;;;
"390";"1390";;;;;;;
"391";"1391";;;;;;;
"392";"1392";;;;;;;
"393";"1393";;;;;;;
"394";"1394";;;;;;;
"395";"1395";;;;;;;
"396";"1396";;;;;;;
"397";"1397";;;;;;;
"398";"1398";;;;;;;
"399";"1399";;;;;;;
"400";"1400";;;;;;;
"401";"1401";;;;;;;
"402";"1402";;;;;;;
"403";"1403";;;;;;;
"404";"1404";;;;;;;
"405";"1405";;;;;;;
"406";"1406";;;;;;;
"407";"1407";;;;;;;
"408";"1408";;;;;;;
"409";"1409";;;;;;;
"410";"1410";;;;;;;
"411";"1411";;;;;;;
"412";"1412";;;;;;;
"413";"1413";;;;;;;
"414";"1414";;;;;;;
"415";"1415";;;;;;;
"416";"1416";;;;;;;
"417";"1417";;;;;;;
"418";"1418";;;;;;;
"419";"1419";;;;;;;
"420";"1420";;;;;;;
"421";"1421";;;;;;;
"422";"1422";;;;;;;
"423";"1423";;;;;;;
"424";"1424";;;;;;;
"425";"1425";;;;;;;
"426";"1426";;;;;;;
"427";"1427";;;;;;;
"428";"1428";;;;;;;
"429";"1429";;;;;;;
"430";"1430";;;;;;;
"431";"1431";;;;;;;
"432";"1432";;;;;;;
"433";"1433";;;;;;;
"434";"1434";;;;;;;
"435";"1435";;;;;;;
"436";"1436";;;;;;;
"437";"1437";;;;;;;
"438";"1438";;;;;;;
"439";"1439";;;;;;;
"440";"1440";;;;;;;
"441";"1441";;;;;;;
"442";"1442";;;;;;;
"443";"1443";;;;;;;
"444";"1444";;;;;;;
"445";"1445";;;;;;;
"446";"1446";;;;;;;
"447";"1447";;;;;;;
"448";"1448";;;;;;;
"449";"1449";;;;;;;
"450";"1450";;;;;;;
"451";"1451";;;;;;;
"452";"1452";;;;;;;
"453";"1453";;;;;;;
"454";"1454";;;;;;;
"455";"1455";;;;;;;
"456";"1456";;;;;;;
"457";"1457";;;;;;;
"458";"1458";;;;;;;
"459";"1459";;;;;;;
"460";"1460";;;;;;;
"461";"1461";;;;;;;
"462";"1462";;;;;;;
"463";"1463";;;;;;;
"464";"1464";;;;;;;
"465";"1465";;;;;;;
"466";"1466";;;;;;;
"467";"1467";;;;;;;
"468";"1468";;;;;;;
"469";"1469";;;;;;;
"470";"1470";;;;;;;
"471";"1471";;;;;;;
"472";"1472";;;;;;;
"473";"1473";;;;;;;
"474";"1474";;;;;;;
"475";"1475";;;;;;;
"476";"1476";;;;;;;
"477";"1477";;;;;;;
"478";"1478";;;;;;;
"479";"1479";;;;;;;
"480";"1480";;;;;;;
"481";"1481";;;;;;;
"482";"1482";;;;;;;
"483";"1483";;;;;;;
"484";"1484";;;;;;;
"485";"1485";;;;;;;
"486";"1486";;;;;;;
"487";"1487";;;;;;;
"488";"1488";;;;;;;
"489";"1489";;;;;;;
"490";"1490";;;;;;;
"491";"1491";;;;;;;
"492";"1492";;;;;;;
"493";"1493";;;;;;;
"494";"1494";;;;;;;
"495";"1495";;;;;;;
"496";"1496";;;;;;;
"497";"1497";;;;;;;
"498";"1498";;;;;;;
"499";"1499";;;;;;;
"500";"1500";;;;;;;
"501";"1501";;;;;;;
"502";"1502";;;;;;;
"503";"1503";;;;;;;
"504";"1504";;;;;;;
"505";"1505";;;;;;;
"506";"1506";;;;;;;
"507";"1507";;;;;;;
"508";"1508";;;;;;;
"509";"1509";;;;;;;
"510";"1510";;;;;;;
"511";"1511";;;;;;;
"512";"1512";;;;;;;
"513";"1513";;;;;;;
"514";"1514";;;;;;;
"515";"1515";;;;;;;
"516";"1516";;;;;;;
"517";"1517";;;;;;;
"518";"1518";;;;;;;
"519";"1519";;;;;;;
"520";"1520";;;;;;;
"521";"1521";;;;;;;
"522";"1522";;;;;;;
"523";"1523";;;;;;;
"524";"1524";;;;;;;
"525";"1525";;;;;;;
"526";"1526";;;;;;;
"527";"1527";;;;;;;
"528";"1528";;;;;;;
"529";"1529";;;;;;;
"530";"1530";;;;;;;
"531";"1531";;;;;;;
"532";"1532";;;;;;;
"533";"1533";;;;;;;
"534";"1534";;;;;;;
"535";"1535";;;;;;;
"536";"1536";;;;;;;
"537";"1537";;;;;;;
"538";"1538";;;;;;;
"539";"1539";;;;;;;
"540";"1540";;;;;;;
"541";"1541";;;;;;;
"542";"1542";;;;;;;
"543";"1543";;;;;;;
"544";"1544";;;;;;;
"545";"1545";;;;;;;
"546";"1546";;;;;;;
"547";"1547";;;;;;;
"548";"1548";;;;;;;
"549";"1549";;;;;;;
"550";"1550";;;;;;;
"551";"1551";;;;;;;
"552";"1552";;;;;;;
"553";"1553";;;;;;;
"554";"1554";;;;;;;
"555";"1555";;;;;;;
"556";"1556";;;;;;;
"557";"1557";;;;;;;
"558";"1558";;;;;;;
"559";"1559";;;;;;;
"560";"1560";;;;;;;
"561";"1561";;;;;;;
"562";"1562";;;;;;;
"563";"1563";;;;;;;
"564";"1564";;;;;;;
"565";"1565";;;;;;;
"566";"1566";;;;;;;
"567";"1567";;;;;;;
"568";"1568";;;;;;;
"569";"1569";;;;;;;
"570";"1570";;;;;;;
"571";"1571";;;;;;;
"572";"1572";;;;;;;
"573";"1573";;;;;;;
"574";"1574";;;;;;;
"575";"1575";;;;;;;
"576";"1576";;;;;;;
"577";"1577";;;;;;;
"578";"1578";;;;;;;
"579";"1579";;;;;;;
"580";"1580";;;;;;;
"581";"1581";;;;;;;
"582";"1582";;;;;;;
"583";"1583";;;;;;;
"584";"1584";;;;;;;
"585";"1585";;;;;;;
"586";"1586";;;;;;;
"587";"1587";;;;;;;
"588";"1588";;;;;;;
"589";"1589";;;;;;;
"590";"1590";;;;;;;
"591";"1591";;;;;;;
"592";"1592";;;;;;;
"593";"1593";;;;;;;
"594";"1594";;;;;;;
"595";"1595";;;;;;;
"596";"1596";;;;;;;
"597";"1597";;;;;;;
"598";"1598";;;;;;;
"599";"1599";;;;;;;
"600";"1600";;;;;;;
"601";"1601";;;;;;;
"602";"1602";;;;;;;
"603";"1603";;;;;;;
"604";"1604";;;;;;;
"605";"1605";;;;;;;
"606";"1606";;;;;;;
"607";"1607";;;;;;;
"608";"1608";;;;;;;
"609";"1609";;;;;;;
"610";"1610";;;;;;;
"611";"1611";;;;;;;
"612";"1612";;;;;;;
"613";"1613";;;;;;;
"614";"1614";;;;;;;
"615";"1615";;;;;;;
"616";"1616";;;;;;;
"617";"1617";;;;;;;
"618";"1618";;;;;;;
"619";"1619";;;;;;;
"620";"1620";;;;;;;
"621";"1621";;;;;;;
"622";"1622";;;;;;;
"623";"1623";;;;;;;
"624";"1624";;;;;;;
"625";"1625";;;;;;;
"626";"1626";;;;;;;
"627";"1627";;;;;;;
"628";"1628";;;;;;;
"629";"1629";;;;;;;
"630";"1630";;;;;;;
"631";"1631";;;;;;;
"632";"1632";;;;;;;
"633";"1633";;;;;;;
"634";"1634";;;;;;;
"635";"1635";;;;;;;
"636";"1636";;;;;;;
"637";"1637";;;;;;;
"638";"1638";;;;;;;
"639";"1639";;;;;;;
"640";"1640";;;;;;;
"641";"1641";;;;;;;
"642";"1642";;;;;;;
"643";"1643";;;;;;;
"644";"1644";;;;;;;
"645";"1645";;;;;;;
"646";"1646";;;;;;;
"647";"1647";;;;;;;
"648";"1648";;;;;;;
"649";"1649";;;;;;;
"650";"1701";;;;;;;
"651";"1702";;;;;;;
"652";"1703";;;;;;;
"653";"1704";;;;;;;
"654";"1705";;;;;;;
"655";"1706";;;;;;;
"656";"1707";;;;;;;
"657";"1708";;;;;;;
"658";"1709";;;;;;;
"659";"1710";;;;;;;
"660";"1711";;;;;;;
"661";"1712";;;;;;;
"662";"1713";;;;;;;
"663";"1714";;;;;;;
"664";"1715";;;;;;;
"665";"1716";;;;;;;
"666";"1717";;;;;;;
"667";"1718";;;;;;;
"668";"1719";;;;;;;
"669";"1720";;;;;;;
"670";"1721";;;;;;;
"671";"1722";;;;;;;
"672";"1723";;;;;;;
"673";"1724";;;;;;;
"674";"1725";;;;;;;
"675";"1726";;;;;;;
"676";"1727";;;;;;;
"677";"1728";;;;;;;
"678";"1729";;;;;;;
"679";"1730";;;;;;;
"680";"1731";;;;;;;
"681";"1732";;;;;;;
"682";"1733";;;;;;;
"683";"1734";;;;;;;
"684";"1735";;;;;;;
"685";"1736";;;;;;;
"686";"1737";;;;;;;
"687";"1738";;;;;;;
"688";"1739";;;;;;;
"689";"1740";;;;;;;
"690";"1741";;;;;;;
"691";"1742";;;;;;;
"692";"1743";;;;;;;
"693";"1744";;;;;;;
"694";"1745";;;;;;;
"695";"1746";;;;;;;
"696";"1747";;;;;;;
"697";"1748";;;;;;;
"698";"1749";;;;;;;
"699";"1750";;;;;;;
"700";"1751";;;;;;;
"701";"1752";;;;;;;
"702";"1753";;;;;;;
"703";"1754";;;;;;;
"704";"1755";;;;;;;
"705";"1756";;;;;;;
"706";"1757";;;;;;;
"707";"1758";;;;;;;
"708";"1759";;;;;;;
"709";"1760";;;;;;;
"710";"1761";;;;;;;
"711";"1762";;;;;;;
"712";"1763";;;;;;;
"713";"1764";;;;;;;
"714";"1765";;;;;;;
"715";"1766";;;;;;;
"716";"1767";;;;;;;
"717";"1768";;;;;;;
"718";"1769";;;;;;;
"719";"1770";;;;;;;
"720";"1771";;;;;;;
"721";"1772";;;;;;;
"722";"1773";;;;;;;
"723";"1774";;;;;;;
"724";"1775";;;;;;;
"725";"1776";;;;;;;
"726";"1777";;;;;;;
"727";"1778";;;;;;;
"728";"1779";;;;;;;
"729";"1780";;;;;;;
"730";"1781";;;;;;;
"731";"1782";;;;;;;
"732";"1783";;;;;;;
"733";"1784";;;;;;;
"734";"1785";;;;;;;
"735";"1786";;;;;;;
"736";"1787";;;;;;;
"737";"1788";;;;;;;
"738";"1789";;;;;;;
"739";"1790";;;;;;;
"740";"1791";;;;;;;
"741";"1792";;;;;;;
"742";"1793";;;;;;;
"743";"1794";;;;;;;
"744";"1795";;;;;;;
"745";"1796";;;;;;;
"746";"1797";;;;;;;
"747";"1798";;;;;;;
"748";"1799";;;;;;;
"749";"1800";;;;;;;
"750";"1801";;;;;;;
"751";"1802";;;;;;;
"752";"1803";;;;;;;
"753";"1804";;;;;;;
"754";"1805";;;;;;;
"755";"1806";;;;;;;
"756";"1807";;;;;;;
"757";"1808";;;;;;;
"758";"1809";;;;;;;
"759";"1810";;;;;;;
"760";"1811";;;;;;;
"761";"1812";;;;;;;
"762";"1813";;;;;;;
"763";"1814";;;;;;;
"764";"1815";;;;;;;
"765";"1816";;;;;;;
"766";"1817";;;;;;;
"767";"1818";;;;;;;
"768";"1819";;;;;;;
"769";"1820";;;;;;;
"770";"1821";;;;;;;
"771";"1822";;;;;;;
"772";"1823";;;;;;;
"773";"1824";;;;;;;
"774";"1825";;;;;;;
"775";"1826";;;;;;;
"776";"1827";;;;;;;
"777";"1828";;;;;;;
"778";"1829";;;;;;;
"779";"1830";;;;;;;
"780";"1831";;;;;;;
"781";"1832";;;;;;;
"782";"1833";;;;;;;
"783";"1834";;;;;;;
"784";"1835";;;;;;;
"785";"1836";;;;;;;
"786";"1837";;;;;;;
"787";"1838";;;;;;;
"788";"1839";;;;;;;
"789";"1840";;;;;;;
"790";"1841";;;;;;;
"791";"1842";;;;;;;
"792";"1843";;;;;;;
"793";"1844";;;;;;;
"794";"1845";;;;;;;
"795";"1846";;;;;;;
"796";"1847";;;;;;;
"797";"1848";;;;;;;
"798";"1849";;;;;;;
"799";"1850";;;;;;;
"800";"1851";;;;;;;
"801";"1852";;;;;;;
"802";"1853";;;;;;;
"803";"1854";;;;;;;
"804";"1855";;;;;;;
"805";"1856";;;;;;;
"806";"1857";;;;;;;
"807";"1858";;;;;;;
"808";"1859";;;;;;;
"809";"1860";;;;;;;
"810";"1861";;;;;;;
"811";"1862";;;;;;;
"812";"1863";;;;;;;
"813";"1864";;;;;;;
"814";"1865";;;;;;;
"815";"1866";;;;;;;
"816";"1867";;;;;;;
"817";"1868";;;;;;;
"818";"1869";;;;;;;
"819";"1870";;;;;;;
"820";"1871";;;;;;;
"821";"1872";;;;;;;
"822";"1873";;;;;;;
"823";"1874";;;;;;;
"824";"1875";;;;;;;
"825";"1876";;;;;;;
"826";"1877";;;;;;;
"827";"1878";;;;;;;
"828";"1879";;;;;;;
"829";"1880";;;;;;;
"830";"1881";;;;;;;
"831";"1882";;;;;;;
"832";"1883";;;;;;;
"833";"1884";;;;;;;
"834";"1885";;;;;;;
"835";"1886";;;;;;;
"836";"1887";;;;;;;
"837";"1888";;;;;;;
"838";"1889";;;;;;;
"839";"1890";;;;;;;
"840";"1891";;;;;;;
"841";"1892";;;;;;;
"842";"1893";;;;;;;
"843";"1894";;;;;;;
"844";"1895";;;;;;;
"845";"1896";;;;;;;
"846";"1897";;;;;;;
"847";"1898";;;;;;;
"848";"1899";;;;;;;
"849";"1900";;;;;;;
"850";"1901";;;;;;;
"851";"1902";;;;;;;
"852";"1903";;;;;;;
"853";"1904";;;;;;;
"854";"1905";;;;;;;
"855";"1906";;;;;;;
"856";"1907";;;;;;;
"857";"1908";;;;;;;
"858";"1909";;;;;;;
"859";"1910";;;;;;;
"860";"1911";;;;;;;
"861";"1912";;;;;;;
"862";"1913";;;;;;;
"863";"1914";;;;;;;
"864";"1915";;;;;;;
"865";"1916";;;;;;;
"866";"1917";;;;;;;
"867";"1918";;;;;;;
"868";"1919";;;;;;;
"869";"1920";;;;;;;
"870";"1921";;;;;;;
"871";"1922";;;;;;;
"872";"1923";;;;;;;
"873";"1924";;;;;;;
"874";"1925";;;;;;;
"875";"1926";;;;;;;
"876";"1927";;;;;;;
"877";"1928";;;;;;;
"878";"1929";;;;;;;
"879";"1930";;;;;;;
"880";"1931";;;;;;;
"881";"1932";;;;;;;
"882";"1933";;;;;;;
"883";"1934";;;;;;;
"884";"1935";;;;;;;
"885";"1936";;;;;;;
"886";"1937";;;;;;;
"887";"1938";;;;;;;
"888";"1939";;;;;;;
"889";"1940";;;;;;;
"890";"1941";;;;;;;
"891";"1942";;;;;;;
"892";"1943";;;;;;;
"893";"1944";;;;;;;
"894";"1945";;;;;;;
"895";"1946";;;;;;;
"896";"1947";;;;;;;
"897";"1948";;;;;;;
"898";"1949";;;;;;;
"899";"1950";;;;;;;
"900";"1951";;;;;;;
"901";"1952";;;;;;;
"902";"1953";;;;;;;
"903";"1954";;;;;;;
"904";"1955";;;;;;;
"905";"1956";;;;;;;
"906";"1957";;;;;;;
"907";"1958";;;;;;;
"908";"1959";;;;;;;
"909";"1960";;;;;;;
"910";"1961";;;;;;;
"911";"1962";;;;;;;
"912";"1963";;;;;;;
"913";"1964";;;;;;;
"914";"1965";;;;;;;
"915";"1966";;;;;;;
"916";"1967";;;;;;;
"917";"1968";;;;;;;
"918";"1969";;;;;;;
"919";"1970";;;;;;;
"920";"1971";;;;;;;
"921";"1972";;;;;;;
"922";"1973";;;;;;;
"923";"1974";;;;;;;
"924";"1975";;;;;;;
"925";"1976";;;;;;;
"926";"1977";;;;;;;
"927";"1978";;;;;;;
"928";"1979";;;;;;;
"929";"1980";;;;;;;
"930";"1981";;;;;;;
"931";"1982";;;;;;;
"932";"1983";;;;;;;
"933";"1984";;;;;;;
"934";"1985";;;;;;;
"935";"1986";;;;;;;
"936";"1987";;;;;;;
"937";"1988";;;;;;;
"938";"1989";;;;;;;
"939";"1990";;;;;;;
"940";"1991";;;;;;;
"941";"1992";;;;;;;
"942";"1993";;;;;;;
"943";"1994";;;;;;;
"944";"1995";;;;;;;
"945";"1996";;;;;;;
"946";"1997";;;;;;;
"947";"1998";;;;;;;
"948";"1999";;;;;;;
"949";"2000";;;;;;;
"950";"2001";;;;;;;
"951";"2002";;;;;;;
"952";"2003";;;;;;;
"953";"2004";;;;;;;
"954";"2005";;;;;;;
"955";"2006";;;;;;;
"956";"2007";;;;;;;
"957";"2008";;;;;;;
"958";"2009";;;;;;;
"959";"2010";;;;;;;
"960";"2011";;;;;;;
"961";"2012";;;;;;;
"962";"2013";;;;;;;
"963";"2014";;;;;;;
"964";"2015";;;;;;;
"965";"2016";;;;;;;
"966";"2017";;;;;;;
"967";"2018";;;;;;;
"968";"2019";;;;;;;
"969";"2020";;;;;;;
"970";"2021";;;;;;;
"971";"2022";;;;;;;
"972";"2023";;;;;;;
"973";"2024";;;;;;;
"974";"2025";;;;;;;
"975";"2026";;;;;;;
"976";"2027";;;;;;;
"977";"2028";;;;;;;
"978";"2029";;;;;;;
"979";"2030";;;;;;;
"980";"2031";;;;;;;
"981";"2032";;;;;;;
"982";"2033";;;;;;;
"983";"2034";;;;;;;
"984";"2035";;;;;;;
"985";"2036";;;;;;;
"986";"2037";;;;;;;
"987";"2038";;;;;;;
